序号,物资描述,计量单位,采购数量,税率,交货日期,报价要求
11,普通碳素不等边角钢 ∠75*50*5mm Q235B,吨,0.8600,0.17,2015-06-05,技术标准:GB/T9787-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
12,普通碳素扁钢 4*100mm Q235B,吨,0.4700,0.17,2015-06-05,技术标准:GB/T704-88计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
13,普通碳素圆钢 Φ20mm Q235B,吨,0.5100,0.17,2015-06-05,技术标准:GB/T702-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
14,普通碳素结构热轧钢板 14mm Q235B,吨,10.6830,0.17,2015-06-06,（1800*9000*6张）技术标准:GB/709-2006计量方式:理算付款方式:送货地点:广东湛江东海岛宝钢施工厂区工程部位:收料人姓名:兰勇联系方式:18898864487
15,普通碳素结构热轧钢板 3mm Q235B,吨,0.4940,0.17,2015-06-01,技术标准:GB/T709-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂区热镀锌区现场。工程部位:收料人姓名:韩华丽联系方式:13782839734
16,普通碳素结构热轧钢板 6mm Q235B,吨,0.6000,0.17,2015-06-07,技术标准:GB/T700-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂区2030冷轧项目部工程部位:收料人姓名:韩华丽13482839734，陈建13818556130
17,普通碳素结构热轧钢板 6mm Q235B,吨,1.0600,0.17,2015-06-05,技术标准:GB/T700-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
18,普通碳素结构热轧钢板 10mm Q235B,吨,0.3500,0.17,2015-06-05,技术标准:GB/T700-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
19,普通碳素结构热轧钢板 12mm Q235B,吨,2.0000,0.17,2015-06-05,技术标准:GB/T700-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
20,普通碳素结构热轧钢板 16mm Q235B,吨,0.3500,0.17,2015-06-05,技术标准:GB/T700-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
21,普通碳素结构热轧钢板 1mm Q235B,吨,0.1650,0.17,2015-06-01,技术标准:GB/T709-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂区热镀锌区现场。工程部位:收料人姓名:韩华丽联系方式:13782839734
22,普通碳素结构热轧钢板 2mm Q235B,吨,0.3300,0.17,2015-06-01,技术标准:GB/T709-2006计量方式:理计付款方式:现金送货地点:湛江钢铁厂区热镀锌区现场。工程部位:收料人姓名:韩华丽联系方式:13782839734
23,碳素结构花纹钢板 6mm Q235B,吨,6.4600,0.17,2015-06-05,技术标准:GB/T3277-1991计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
24,一般焊接钢管 Φ48*3.5mm Q235B,吨,2.5600,0.17,2015-06-05,技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
25,一般焊接钢管 ф26.8*2.75mm Q235B,吨,0.5400,0.17,2015-06-05,技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
26,热镀锌钢管 DN25 33.5*3.25mm Q235B,吨,0.4840,0.17,2015-06-07,技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂区2030冷轧施工现场工程部位:收料人姓名:韩华丽13482839734联系方式:
27,热镀锌钢管 DN150 热镀锌,米,12.8000,0.17,2015-06-05,600米。保证米数。技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
